addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,5458423218,70.66628273626853,,,,Sarijadi,Sukasari,27619,107.57989263801397,-6.879691832875278
<NA>,3059941385,57.790946410369266,,,,Sarijadi,Sukasari,27619,107.57984950997874,-6.879830313323378
<NA>,3059941385,41.52947375724191,,,,Sarijadi,Sukasari,27619,107.57985985829846,-6.879989505576281
<NA>,5458423218,53.92090121103002,,,,Sarijadi,Sukasari,27619,107.57966834330578,-6.879793053974275
<NA>,10171907475,41.93590948904935,,,,Sarijadi,Sukasari,27619,107.57968693080018,-6.880013067437479
<NA>,3059941385,24.59319549903447,,,,Sarijadi,Sukasari,27619,107.57989701091817,-6.880152998823096
<NA>,10171907475,23.10753577347434,,,,Sarijadi,Sukasari,27619,107.57971791891165,-6.880203537585054
<NA>,5458423357,28.488496090000705,,,,Sarijadi,Sukasari,27619,107.57903256175463,-6.880394251664791
<NA>,3059940973,20.563444909227485,,,,Sarijadi,Sukasari,27619,107.57838432667725,-6.880483063388678
<NA>,1667980029,23.671809442000654,,,,Sarijadi,Sukasari,27619,107.57828467742031,-6.880421558983529
<NA>,5507066787,22.313068183684745,,,,Sarijadi,Sukasari,27619,107.57892039811406,-6.880351572940313
<NA>,3059938826,22.50520352543353,,,,Sarijadi,Sukasari,27619,107.57873050618097,-6.880267889135748
<NA>,6443175830,20.911660871888074,,,,Sarijadi,Sukasari,27619,107.57663745120524,-6.88041282267388
<NA>,1667213304,15.21293926899977,,,,Sarijadi,Sukasari,27619,107.57654156140057,-6.88049890933755
<NA>,1667213304,16.38602773944212,,,,Sarijadi,Sukasari,27619,107.57648757738745,-6.880606915952492
<NA>,1667213304,31.655739341967923,,,,Sarijadi,Sukasari,27619,107.5764121299561,-6.880770077119817
<NA>,1667213304,46.01249897400229,,,,Sarijadi,Sukasari,27619,107.57673385400511,-6.880738569108964
<NA>,1667980032,27.605045746706047,,,,Sarijadi,Sukasari,27619,107.57749911466021,-6.880713070871203
<NA>,3059940973,13.592093996016992,,,,Sarijadi,Sukasari,27619,107.57853736381534,-6.8806161032479825
<NA>,3059940973,19.96292402234149,,,,Sarijadi,Sukasari,27619,107.57845117263841,-6.880633665060361
<NA>,1667980029,15.256538111182206,,,,Sarijadi,Sukasari,27619,107.57826562362821,-6.8807068371494
<NA>,1667980029,15.451484752668469,,,,Sarijadi,Sukasari,27619,107.57815145000004,-6.880742200000891
<NA>,1667980029,23.680773971208993,,,,Sarijadi,Sukasari,27619,107.5783751867678,-6.880675910844102
<NA>,2962096532,47.595944126811844,,,,Taman Sari,Bandung Wetan,22984,107.60404991368115,-6.903893658576021
<NA>,25495439,66.09398331282549,,,,Taman Sari,Bandung Wetan,22984,107.60475747399069,-6.903689720826975
<NA>,9189145297,103.12900468869691,,,,Taman Sari,Bandung Wetan,22984,107.60527358800253,-6.902310604860672
